Talent	Wins
1015.43	12
977.87	13
974.79	11
925.92	7
917.88	9
913.24	12
899.31	10
896.41	8
884.97	10
874.74	12
870.7	10
860.27	7
858.06	10
850.43	15
845.29	5
821.07	9
805.63	8
770.94	6
768.25	5
765.33	13
765.2	5
763.02	5
756.04	11
755.4	11
752.6	8
751.12	14
747.34	4
746.29	5
744.16	10
741.63	7
740.54	7
730.93	4
722.55	8
714.21	11
711.87	4
710.85	7
710.28	3
700.85	9
700.42	3
694.26	7
692.62	10
687.01	10
685.75	8
681.32	3
681.14	6
678.0	3
677.57	3
671.1	4
670.25	4
666.23	9
663.68	3
657.88	8
653.97	6
653.16	8
650.23	7
649.79	10
640.46	6
639.88	2
638.89	7
638.87	7
636.35	7
632.68	9
630.95	5
626.86	10
622.89	7
622.7	3
620.9	8
616.0	9
610.75	6
603.68	4
582.59	4
579.88	8
576.25	5
574.52	9
573.28	5
565.65	3
563.94	2
555.3	9
554.96	3
554.47	3
545.68	7
537.7	11
520.23	4
517.56	9
515.69	8
513.83	7
499.67	7
497.64	11
491.26	8
487.98	4
487.5	4
487.4	6
484.94	3
484.79	8
478.59	6
475.45	6
474.38	5
473.46	4
470.32	2
466.78	6
